Institut de Recerça en Educació,School of International Development University of East Anglia,
Institut für Religionspädagogik der Erzdiözese Freiburg,,
Institut mezioborových studií,"Seton Hall University, New Jersey, USA",
Instituto de Ciencias de la Educación,Stellenbosch University,
Instituto Politécnico de Bragança,"Teachers College, Columbia University, Upper Manhattan, New York, US",
,"The College of William and Mary, USA",
Instytut Globalnej Odpowiedzialności,"Ohio State University, Columbus, USA",
IRD Éditions.,"Pennsylvania State University, Pennsylvania, US",
ISU - Instituto de Solidariedade e Cooperação Universitária,University of North Carolina,
Kieleckie Towarzystwo Naukowe,,
Klemm & Oelschläger,"The University of Texas Rio Grande Valley, USA",
,University of Wisconsin,
komment,,
L'Harmattan,UCL Institute of Education,
La Catarata,,
La scuola,UK Department for International Development,
Lannoo Campus,UNED Universidad Nacional de Educación a Distancia,
Las Palmas,UNESCO,
Laterza,,
Les éditions de pédagogies radicales,,
Lexington Books,Universidad Autónoma de Barcelona,
Libreria Bonomo editrice,Universidad Autónoma de Madrid,
Libros de Anarres,Universidad Carlos III de Madrid,
LIT,Universidad Católica de Valencia San Vicente Mártir,
Location IGI Global Disseminator of Knowledge,Universidad Complutense de Madrid,
Los libros de la catarata,Universidad de Almería,
"Madrid, Editorial SM.",Universidad de Barcelona,
Maggioli Ed,Universidad de Castilla-La Mancha,
Maklu Uitgever,Universidad de Córdoba,
Martini Maria Cristina,Universidad de Extremadura,
Mimesis,Universidad de Girona,
Ministério da Educação,Universidad de Granada,
MO* - Mondiaal nieuws,Universidad de Huelva,
Moderna/Fundação Santilhana,Universidad de Jaén,
Mondadori università-Mondadori education,Universidad de las Islas Baleares,
Morata,Universidad de Las Palmas de Gran Canaria,
Multilingual Matters,Universidad de Málaga,
Narr Francke Attempto Verlag,Universidad de Murcia,
Narratives of Distinguished Global Scholars IAP,Universidad de Navarra,
Nomos Verlagsgesellschaft mbH & Co. KG,Universidad de Oviedo,
NUSO-Verlag,Universidad de Salamanca,
Octaedro,,
Octaedro-CLACSO,Universidad de Sevilla,
OEI,Universidad de Valencia,
Oficyna Wydawnicza Impuls,Universidad de Valladolid,
Organismo Autónomo Parques Nacionales,Universidad del País Vasco,
Ośrodek Rozwoju Edukacji,Universidad Europea de Madrid,
Oxford University Press,Universidad Pablo de Olavide,
,Universidad Politécnica de Madrid,
Palgrave Macmillan UK,Universidad Pontifica de Comillas,
Pearson,Universidad Pública de Navarra,
,"Università Cattolica del Sacro Cuore, Milano",
Pensa MultiMedia,"Università degli Studi Enna, Kore",
,Università degli Studi Roma Tre,
Philosophy of Education Society,Università di Bologna,
Piemme,Universitat Jaume I,
