,type,title,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,year,publisher,main_theme,publisher_place,secondary_theme,lang,link,doi,publication_country,search_term,rest
1642,Doctoral Theses,Desarrollo de la educación ambiental en la formación inicial docente de la carrera de Pedagogía media en Ciencias naturales y Biología,"Díaz Garrido, P.",,,,,,,,,,2015,Universidad de Extremadura,"['training of trainers', 'Teacher education']",,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=47597,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1643,Doctoral Theses,La educación para el desarrollo en la universidad.  Análisis y alternativa.,"Ruiz Ruiz, E.",,,,,,,,,,2015,Universidad de Salamanca,"['training of trainers', 'Teacher education']",,[],Spanish,https://gredos.usal.es/bitstream/handle/10366/127877/DDOMI_RuizRuizE_Educacionparadesarrollo.pdf?sequence=1&isAllowed=y,not found,,CIUDADANÍA GLOBAL,
1644,Doctoral Theses,"Las actitudes de los futuros docentes de educación primaria en relación con la educación intercultural y la identidad de género.  Propuestas para la formación educativa de la diversidad de género, etnia y cultura.","Velarde Sánchez, M. C.",,,,,,,,,,2015,Universidad de Extremadura,"['training of trainers', 'Teacher education']",,[],Spanish,http://redined.mecd.gob.es/xmlui/bitstream/handle/11162/133553/TDUEX_2015_Velarde_Sanchez.pdf?sequence=1&isAllowed=y,not found,,CIUDADANÍA GLOBAL,
1663,Doctoral Theses,"Comunicación digital, educación y ciudadanía global. Un nuevo paradigma.","De Almeida Maia Carmo, M. T.",,,,,,,,,,2015,Universidad Complutense de Madrid,"['conceptual publications', 'Theoretical']",,[],Spanish,https://eprints.ucm.es/33912/1/T36621.pdf,not found,,CIUDADANÍA GLOBAL,
1664,Doctoral Theses,"El derecho al desarrollo.  Fundamentación ética, biociudadanía y núcleo esencial. ","Hernández Umaña, B. A.",,,,,,,,,,2015,Universidad Complutense de Madrid,"['conceptual publications', 'Theoretical']",,[],Spanish,http://eprints.sim.ucm.es/32876/,not found,,CIUDADANÍA GLOBAL,
1665,Doctoral Theses,Textos reflexivos en redes internacionales de educación para el desarrollo sostenible. Análisis del lenguaje evaluativo desde la teoría de la valoración.,"Sabio Collado, E",,,,,,,,,,2015,Universidad Autónoma de Barcelona,"['conceptual publications', 'Theoretical']",,[],Spanish,https://www.educacion.gob.es/teseo/imprimirFicheroTesis.do?idFichero=ZI%2BpBINNQoA%3D,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1666,Doctoral Theses,Aportaciones de la pedagogía de Paulo Freire a la educación intercultural. Posibilidades de aplicación al sistema educativo de Asturias.,"Muñiz, María Verdeja",,,,,,,,,,2015,Universidad de Oviedo,"['conceptual publications', 'Theoretical']",,[],Spanish,http://redined.mecd.gob.es/xmlui/handle/11162/116241,not found,,CIUDADANÍA GLOBAL,
1690,Doctoral Theses,La Educación en Derechos Humanos como elemento de cohesión social. Estudio de un caso.,"Arrazola Carballo, J.",,,,,,,,,,2016,Universidad de Barcelona,['Formal Education'],,[],Spanish,http://diposit.ub.edu/dspace/bitstream/2445/106734/1/JAC_TESIS.pdf,not found,,CIUDADANÍA GLOBAL,
1691,Doctoral Theses,Educación intercultural y representaciones de lo étnico en Chile. Etnografía de un establecimiento secundario en contexto urbano.,"Catalán Pesce, R.",,,,,,,,,,2016,Universidad Complutense de Madrid,['Formal Education'],,[],Spanish,https://eprints.ucm.es/35543/1/T36817.pdf,not found,,CIUDADANÍA GLOBAL,
1692,Doctoral Theses,Valores en la escuela y sostenibilidad. La carta de la tierra.,"García Gómez, M.",,,,,,,,,,2016,Universidad de Valladolid,['Formal Education'],,[],Spanish,http://uvadoc.uva.es/bitstream/handle/10324/22445/Tesis1232-170303.pdf?sequence=1&isAllowed=y,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1693,Doctoral Theses,Análisis de manuales escolares de educación para la ciudadanía y los derechos humanos de educación secundaria obligatoria en clave de educación para el desarrollo Universidad de Valladolid,"Ortega Gaite, S.",,,,,,,,,,2016,Universidad de Valladolid,['Formal Education'],,[],Spanish,https://dialnet.unirioja.es/servlet/exttes?codigo=132952,not found,,CIUDADANÍA GLOBAL,
1694,Doctoral Theses,"Globalización, gobernabilidad y educación. Hacia la construcción de una ciudadanía global.","Pizzutu, G.",,,,,,,,,,2016,Universidad Pablo de Olavide,['Formal Education'],,[],Spanish,https://www.educacion.gob.es/teseo/imprimirFicheroTesis.do?idFichero=mDT7UYd0wmQ%3D,not found,,CIUDADANÍA GLOBAL,
1695,Doctoral Theses,Reconocimiento de los derechos humanos en el ámbito educativo,"Rodríguez Morales, H.",,,,,,,,,,2016,Universidad de Las Palmas de Gran Canaria,['Formal Education'],,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=182985,not found,,CIUDADANÍA GLOBAL,
1696,Doctoral Theses,Desarrollo de una propuesta didáctica sobre contenidos de ecología en 2º de ESO a partir de situaciones problemáticas abiertas,"Rosa Novalbos, D.",,,,,,,,,,2016,Universidad Complutense de Madrid,['Formal Education'],,[],Spanish,https://eprints.ucm.es/40345/1/T38080.pdf,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1713,Doctoral Theses,La ambientalización curricular en las humanidades.  El caso de la universidad madrileña.,"Arias Rubio, Gala",,,,,,,,,,2016,Universidad Carlos III de Madrid,['Higher education research'],,[],Spanish,https://e-archivo.uc3m.es/bitstream/handle/10016/22378/tesis_gala_arias.pdf?sequence=1&isAllowed=y,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
